property_id,property_type,location,city,country,price,size_sqft,bedrooms,status,listing_date
PROP000112,Apartment,London,Dubai,UAE,862947.16,2050,2,Rented,2023-02-10
PROP000113,House,Dubai,Singapore,Canada,828750.13,3987,5,Available,2018-12-17
PROP000114,Apartment,New York,London,Singapore,1877767.28,8800,5,Rented,2018-06-29
PROP000115,Retail,Toronto,Lagos,UAE,448226.04,7615,1,Available,2018-02-07
PROP000116,Villa,Sydney,Toronto,Canada,1876830.31,8108,3,Sold,2023-10-27
PROP000117,Villa,London,Dubai,Nigeria,174242.55,8768,4,Sold,2019-12-20
PROP000118,Office,London,Sydney,Australia,872416.38,4640,1,Rented,2022-08-02
PROP000119,Office,London,New York,Singapore,212355.19,5733,2,Sold,2024-05-19
PROP000120,Villa,Berlin,Singapore,Australia,1558101.1,3655,3,Sold,2024-09-15
PROP000121,Villa,Dubai,Sydney,Germany,242168.37,9883,1,Available,2022-05-14
PROP000122,Office,London,Berlin,Singapore,1078471.69,452,2,Sold,2022-03-14
PROP000123,Villa,Berlin,Berlin,UAE,861646.1,8733,4,Available,2018-06-28
PROP000124,House,New York,Singapore,UK,1490750.96,1969,4,Available,2019-05-04
PROP000125,House,Sydney,Singapore,Nigeria,191742.6,6410,4,Sold,2019-05-31
PROP000126,Villa,Dubai,Lagos,Germany,1211291.74,6978,5,Sold,2019-03-24
PROP000127,House,Sydney,New York,Canada,1565397.67,7280,2,Sold,2022-09-01
PROP000128,Retail,Sydney,Sydney,Canada,545403.47,5132,1,Available,2018-10-19
PROP000129,Retail,Singapore,London,UAE,356272.03,4931,3,Sold,2018-09-13
PROP000130,Office,Berlin,Sydney,Australia,1074420.12,8008,3,Available,2020-01-06
PROP000131,Retail,New York,Lagos,Australia,1669378.12,9480,1,Available,2018-12-28
PROP000132,Retail,New York,Sydney,UAE,947983.77,6245,4,Sold,2019-09-28
PROP000133,Office,Sydney,Singapore,Singapore,1878978.38,3215,1,Sold,2018-03-20
PROP000134,Apartment,Toronto,New York,Nigeria,1068732.71,3050,3,Available,2023-12-05
PROP000135,House,London,Lagos,UK,1053904.98,2591,1,Sold,2019-09-15
PROP000136,Retail,Dubai,Berlin,Canada,805670.26,7770,1,Sold,2020-10-24
PROP000137,Office,Dubai,Lagos,UK,100560.24,4901,1,Available,2020-09-15
PROP000138,Retail,Lagos,Toronto,UAE,296412.1,744,1,Available,2022-10-17
PROP000139,Apartment,Berlin,Toronto,Singapore,735384.03,8988,4,Rented,2022-04-14
PROP000140,Apartment,Toronto,Dubai,UK,1089135.27,3384,2,Available,2019-09-21
PROP000141,Retail,New York,Singapore,UAE,1108326.94,8285,4,Available,2018-06-28
PROP000142,Retail,Toronto,Singapore,Australia,776089.85,1366,1,Sold,2021-06-18
PROP000143,Office,Toronto,Berlin,Germany,615489.68,8860,4,Sold,2020-06-16
PROP000144,House,Lagos,Dubai,Nigeria,1783231.99,3346,3,Available,2018-01-01
PROP000145,Office,Berlin,Berlin,Australia,1962010.19,2210,3,Available,2024-05-07
PROP000146,Villa,New York,Toronto,UAE,1159826.51,8292,3,Available,2018-08-07
PROP000147,Office,Singapore,Dubai,Australia,1754277.7,3649,1,Rented,2019-02-19
PROP000148,Retail,Lagos,Dubai,Germany,781542.06,4947,2,Rented,2018-11-25
PROP000149,House,Sydney,New York,Singapore,1579007.89,8331,4,Available,2023-09-19
PROP000150,Office,Lagos,Toronto,UAE,839663.19,871,1,Rented,2018-10-19
PROP000151,Office,Dubai,Dubai,Singapore,1235255.16,4891,5,Rented,2021-05-15
PROP000152,Retail,London,Dubai,UAE,1701546.38,5474,5,Rented,2019-10-31
PROP000153,House,London,Berlin,Nigeria,1727925.23,7577,3,Rented,2022-09-09
PROP000154,House,Singapore,Berlin,Singapore,412587.49,6427,4,Sold,2024-06-08
PROP000155,Villa,Dubai,New York,UAE,1653925.67,634,2,Sold,2023-12-19
PROP000156,Retail,Berlin,New York,Nigeria,1857154.13,2428,2,Rented,2018-09-22
PROP000157,Retail,Lagos,London,Canada,1087887.36,8046,3,Rented,2024-11-15
PROP000158,House,New York,Berlin,Canada,406137.76,6997,2,Sold,2022-05-29
PROP000159,Apartment,Lagos,New York,UK,344451.01,7253,5,Sold,2024-07-03
PROP000160,House,Sydney,Toronto,Germany,1405666.8,5012,5,Available,2022-10-09
PROP000161,Retail,Sydney,Singapore,Nigeria,919945.18,7797,2,Available,2021-07-14
PROP000162,Apartment,Berlin,London,UK,934940.23,9271,2,Sold,2019-09-23
PROP000163,Villa,Dubai,Toronto,Canada,490432.29,4443,4,Available,2021-02-16
PROP000164,Office,London,Lagos,Singapore,595947.79,6181,5,Sold,2019-12-17
PROP000165,House,London,Lagos,USA,1362546.93,326,3,Sold,2024-01-16
PROP000166,Apartment,Toronto,Singapore,Nigeria,64132.11,3579,5,Available,2024-10-03
PROP000167,House,Singapore,Toronto,Nigeria,592877.02,1788,3,Available,2022-03-09
PROP000168,Office,Dubai,Singapore,UK,1155310.29,7785,1,Available,2022-05-08
PROP000169,Office,Lagos,Sydney,UAE,497341.84,3299,1,Available,2022-01-16
PROP000170,House,Toronto,Sydney,Nigeria,951822.96,2222,1,Sold,2023-12-01
PROP000171,Retail,Singapore,London,Singapore,967377.99,3080,2,Available,2018-06-16
PROP000172,Retail,Sydney,Toronto,Germany,117234.28,1746,5,Sold,2022-08-01
PROP000173,Villa,Toronto,London,Nigeria,1274687.69,535,3,Sold,2023-05-08
PROP000174,House,Berlin,Singapore,USA,539858.89,9207,4,Available,2024-09-05
PROP000175,Retail,London,Sydney,Australia,1490386.13,7778,4,Sold,2018-03-18
PROP000176,Villa,Toronto,Berlin,Germany,613140.14,9462,4,Sold,2018-02-01
PROP000177,Retail,Lagos,Toronto,Singapore,1661073.54,3596,5,Sold,2020-04-18
PROP000178,House,New York,London,UAE,1393780.19,583,3,Sold,2024-11-08
PROP000179,Office,Dubai,Sydney,UAE,673750.06,6739,4,Sold,2022-08-30
PROP000180,Villa,Berlin,Toronto,Canada,715186.41,3636,3,Available,2024-08-04
PROP000181,House,Toronto,Berlin,Australia,1436195.87,9000,4,Available,2024-07-08
PROP000182,House,Sydney,Dubai,UK,1084626.98,906,4,Sold,2018-06-19
PROP000183,Apartment,Lagos,Toronto,Canada,95340.8,9756,4,Rented,2024-03-17
PROP000184,House,Singapore,Lagos,Nigeria,1888795.32,6123,2,Sold,2020-01-07
PROP000185,Office,Dubai,Dubai,Singapore,1877000.52,4583,5,Rented,2020-12-30
PROP000186,Apartment,Singapore,Berlin,Singapore,816394.45,1541,5,Available,2020-09-13
PROP000187,House,Toronto,Lagos,Australia,1913773.08,7613,5,Available,2021-12-19
PROP000188,Apartment,New York,Berlin,Australia,1513665.53,4269,3,Rented,2023-07-17
PROP000189,Apartment,London,London,Australia,880591.74,9058,4,Rented,2023-07-08
PROP000190,House,Dubai,Sydney,Canada,402977.7,3548,1,Rented,2023-08-07
PROP000191,Office,Lagos,Lagos,Singapore,1983850.77,309,3,Available,2022-03-21
PROP000192,Office,Dubai,Singapore,Singapore,475155.34,5575,2,Sold,2021-05-09
PROP000193,House,New York,Berlin,UAE,1153837.6,8393,5,Available,2018-11-23
PROP000194,Villa,Toronto,Toronto,Germany,685091.54,7137,5,Rented,2022-11-18
PROP000195,Office,Sydney,Singapore,Singapore,460215.73,8932,1,Sold,2019-02-24
PROP000196,Retail,Berlin,New York,Canada,1943626.25,5488,2,Rented,2022-06-09
PROP000197,House,New York,Dubai,Australia,1841720.11,8288,5,Available,2019-10-21
PROP000198,Retail,Sydney,Toronto,Nigeria,130956.36,8134,2,Available,2018-11-12
PROP000199,Office,Toronto,Toronto,UAE,1843327.88,537,3,Available,2018-10-09
PROP000200,Retail,Berlin,Berlin,USA,1429922.31,8625,5,Sold,2021-02-27
PROP000201,Apartment,London,Sydney,Germany,1398367.16,6038,4,Sold,2018-07-30
PROP000202,Apartment,Singapore,New York,UK,1425165.72,8129,2,Rented,2018-03-22
PROP000203,House,Dubai,Singapore,Nigeria,738984.14,4746,2,Rented,2023-12-28
PROP000204,Apartment,New York,Dubai,Canada,1614296.52,6354,3,Sold,2022-12-29
PROP000205,Apartment,Toronto,Berlin,Singapore,1406303.9,2789,4,Rented,2024-09-18
PROP000206,Retail,New York,Sydney,Australia,446582.24,1603,4,Rented,2018-12-26
PROP000207,Retail,Toronto,New York,Singapore,1467017.1,2934,2,Available,2018-01-01
PROP000208,Villa,Berlin,Lagos,Australia,1394719.75,9955,3,Rented,2022-07-31
PROP000209,Apartment,Lagos,Berlin,Singapore,759771.51,6517,3,Sold,2023-04-12
PROP000210,House,Lagos,Toronto,Australia,1517367.91,314,3,Sold,2023-08-29
PROP000211,House,Sydney,Sydney,Canada,427010.45,7936,1,Available,2019-11-03
PROP000212,Villa,Dubai,Singapore,Canada,907153.93,4049,5,Sold,2019-05-11
PROP000213,Apartment,New York,Singapore,Singapore,1773235.49,5320,5,Rented,2020-04-13
PROP000214,House,Singapore,Lagos,USA,1404435.67,328,2,Rented,2024-05-23
PROP000215,Office,Toronto,Toronto,Australia,1412679.28,1806,4,Available,2019-01-27
PROP000216,Retail,Dubai,Toronto,UAE,1076485.93,3130,4,Sold,2023-08-29
PROP000217,House,New York,Sydney,UAE,1333464.86,8662,5,Sold,2020-05-21
PROP000218,Villa,Dubai,Singapore,Australia,1930989.95,4516,4,Available,2022-03-10
PROP000219,Retail,Sydney,Toronto,Singapore,1357717.34,3354,4,Sold,2020-09-10
PROP000220,Retail,Singapore,Toronto,UK,1295051.73,6952,1,Sold,2020-05-26
PROP000221,Retail,Lagos,New York,Singapore,380032.95,3678,3,Sold,2019-12-09
PROP000222,Apartment,Lagos,Singapore,Australia,153951.35,912,3,Rented,2019-01-13
PROP000223,Apartment,Singapore,Toronto,UAE,1620530.64,6939,2,Sold,2022-06-10
PROP000224,Office,Singapore,Singapore,UAE,1153533.87,7486,1,Available,2020-02-29
PROP000225,Retail,Dubai,New York,Australia,174214.62,2569,5,Available,2020-04-10
PROP000226,Retail,Sydney,New York,UK,1312718.54,9012,5,Available,2020-09-21
PROP000227,Apartment,Sydney,Toronto,Germany,1841434.34,5707,2,Rented,2024-09-30
PROP000228,Retail,Sydney,Singapore,USA,185675.76,3722,5,Sold,2021-06-27
PROP000229,Retail,Dubai,Toronto,UK,1895270.3,3093,2,Available,2018-12-22
PROP000230,Villa,Dubai,Dubai,Australia,1359077.08,5766,1,Sold,2023-12-09
PROP000231,Apartment,Singapore,Lagos,Singapore,649885.14,9279,4,Sold,2022-08-11
PROP000232,Retail,Sydney,Singapore,UK,268440.2,4495,4,Available,2023-11-07
PROP000233,House,Berlin,New York,UK,1356181.0,9301,1,Rented,2021-08-13
PROP000234,House,London,Dubai,Germany,1499170.07,2937,1,Rented,2021-03-06
PROP000235,Villa,Dubai,Lagos,USA,1035132.2,6351,1,Rented,2022-11-05
PROP000236,Retail,Lagos,London,UK,402332.13,2660,2,Available,2021-04-03
PROP000237,Office,Lagos,Dubai,USA,282469.67,8890,4,Available,2022-07-23
PROP000238,House,New York,London,USA,1550603.02,6906,1,Available,2019-12-06
PROP000239,Villa,Singapore,London,UAE,1436976.33,4765,3,Sold,2020-10-01
PROP000240,Office,Lagos,Toronto,Canada,377569.19,4241,1,Rented,2023-04-03
PROP000241,Villa,Lagos,Sydney,Nigeria,991273.66,7903,5,Sold,2019-10-06
PROP000242,Villa,Toronto,Dubai,Singapore,342863.57,1319,5,Available,2020-05-12
PROP000243,Apartment,Sydney,Lagos,Nigeria,795396.25,4074,1,Available,2022-03-07
PROP000244,Villa,Toronto,London,Australia,549258.61,3286,5,Available,2021-08-27
PROP000245,House,Toronto,Dubai,Nigeria,73685.64,9761,1,Sold,2022-08-01
PROP000246,Office,Sydney,Singapore,Germany,1965004.3,7391,5,Sold,2019-07-11
PROP000247,House,Singapore,Berlin,Australia,593415.7,4004,2,Sold,2021-06-10
PROP000248,Retail,Lagos,London,Germany,1198364.45,9457,3,Sold,2023-01-29
PROP000249,Retail,Sydney,Toronto,UK,1450529.9,7876,3,Available,2019-04-27
PROP000250,Apartment,Lagos,Dubai,Australia,718874.17,3596,4,Rented,2023-12-19
PROP000251,House,Berlin,Toronto,USA,999844.81,1665,4,Rented,2020-02-22
PROP000252,Office,Toronto,Sydney,UAE,77726.37,7960,3,Available,2019-07-15
PROP000253,Villa,London,Lagos,Germany,500726.13,8112,3,Available,2021-03-04
PROP000254,Retail,Berlin,Dubai,UAE,1565749.14,6659,1,Available,2022-05-09
PROP000255,Office,Dubai,Sydney,UAE,777899.88,8267,3,Available,2021-08-21
PROP000256,Retail,Sydney,London,Germany,611603.46,6475,4,Rented,2018-10-16
PROP000257,Apartment,Sydney,Lagos,Nigeria,1820388.41,6871,2,Sold,2023-07-14
PROP000258,House,Berlin,Singapore,UAE,1455057.62,7737,3,Available,2022-07-04
PROP000259,Retail,Sydney,London,Germany,1952937.66,336,5,Sold,2021-02-18
PROP000260,House,Berlin,London,USA,402936.94,7216,4,Available,2023-06-01
PROP000261,Retail,Sydney,Singapore,Germany,262893.31,9037,2,Sold,2020-06-02
PROP000262,Retail,New York,Singapore,USA,1022208.65,2970,3,Available,2020-02-12
PROP000263,House,Singapore,Lagos,UK,951269.79,3990,4,Available,2021-04-01
PROP000264,Villa,Dubai,Dubai,UAE,1603850.12,1898,4,Rented,2021-08-31
PROP000265,Office,Lagos,New York,Canada,699980.78,1538,4,Sold,2020-06-27
PROP000266,Retail,Sydney,New York,Singapore,1853293.08,570,5,Rented,2020-07-23
PROP000267,Apartment,Sydney,Singapore,UK,618035.32,7027,4,Rented,2023-08-29
PROP000268,Apartment,Sydney,Singapore,Nigeria,724640.1,6644,5,Available,2024-07-16
PROP000269,House,Sydney,Singapore,UK,1574268.69,7676,1,Rented,2019-12-08
PROP000270,House,New York,Sydney,Germany,715352.22,8179,4,Rented,2021-10-03
PROP000271,Villa,Lagos,New York,Canada,545354.5,8198,1,Sold,2019-10-22
PROP000272,Villa,Singapore,New York,UAE,1342703.27,1652,3,Available,2021-07-16
PROP000273,Retail,Dubai,Lagos,Canada,1105200.58,7327,2,Sold,2020-05-13
PROP000274,House,Berlin,New York,UAE,304662.01,4705,2,Rented,2024-12-18
PROP000275,Office,Sydney,Singapore,Australia,1852996.76,5883,1,Available,2023-11-05
PROP000276,Retail,Sydney,Toronto,Singapore,577688.07,863,5,Rented,2024-04-27
PROP000277,Apartment,Berlin,Lagos,Germany,1614038.01,8540,2,Rented,2022-11-25
PROP000278,Retail,Singapore,Lagos,Canada,981752.25,9987,4,Rented,2019-02-24
PROP000279,Villa,Sydney,Lagos,USA,1299565.58,6812,3,Available,2020-11-26
PROP000280,Office,Lagos,Lagos,UAE,744591.61,4927,4,Rented,2019-11-17
PROP000281,Office,Dubai,London,Nigeria,1886659.2,9812,1,Sold,2023-02-04
PROP000282,Office,Dubai,Sydney,Canada,688453.52,7518,2,Available,2023-07-14
PROP000283,Office,New York,New York,USA,1564601.26,1430,5,Sold,2022-08-21
PROP000284,Villa,Toronto,London,Canada,241160.47,398,1,Rented,2021-02-26
PROP000285,Office,Singapore,Berlin,USA,1718777.91,1488,3,Available,2024-08-01
PROP000286,Retail,Lagos,Dubai,USA,1784058.56,711,1,Available,2018-12-25
PROP000287,House,Lagos,New York,Singapore,1112213.08,3883,5,Rented,2024-09-02
PROP000288,Office,Sydney,Dubai,Canada,1946834.91,3892,1,Rented,2024-02-12
PROP000289,Office,Singapore,New York,USA,744177.52,5271,4,Sold,2024-09-18
PROP000290,Office,Toronto,London,Nigeria,485377.19,9193,2,Available,2024-06-17
PROP000291,House,Berlin,New York,Canada,1148329.15,7999,3,Rented,2020-01-16
PROP000292,Villa,Lagos,Sydney,USA,339154.69,4016,3,Sold,2018-03-15
PROP000293,Villa,Singapore,New York,Canada,1259398.48,595,3,Available,2020-07-26
PROP000294,Villa,Berlin,Toronto,Singapore,379938.69,8601,5,Available,2018-09-25
PROP000295,Office,New York,Lagos,Nigeria,445327.7,5947,4,Sold,2019-04-03
PROP000296,Apartment,London,New York,Singapore,1759922.79,2125,4,Available,2022-02-22
PROP000297,Apartment,Lagos,Berlin,UAE,699044.9,7205,3,Available,2024-05-04
PROP000298,Office,Singapore,Berlin,Nigeria,1639509.44,4158,4,Rented,2021-04-08
PROP000299,Villa,Dubai,Toronto,UAE,569996.14,8374,3,Sold,2024-10-01
PROP000300,Villa,Lagos,London,Australia,110978.67,9306,3,Available,2020-08-08
PROP000301,Villa,Sydney,New York,Germany,911948.24,4101,4,Sold,2022-10-18
PROP000302,Office,Singapore,Dubai,UK,1216329.35,985,2,Sold,2018-02-04
PROP000303,Retail,Toronto,Sydney,Nigeria,137435.9,2356,4,Rented,2020-07-31
PROP000304,Retail,Berlin,Singapore,Australia,300227.13,9477,1,Available,2023-01-07
PROP000305,Apartment,Lagos,London,UK,123890.44,443,1,Rented,2021-08-17
PROP000306,Villa,Lagos,Dubai,UK,247351.15,405,4,Available,2022-01-03
PROP000307,Retail,London,Dubai,UK,1261004.09,9619,4,Available,2023-01-30
PROP000308,Villa,Dubai,Lagos,USA,260038.07,5656,3,Sold,2020-11-06
PROP000309,House,Toronto,Toronto,Canada,1571924.81,1021,2,Sold,2020-10-31
PROP000310,Villa,Lagos,London,UAE,60534.74,2382,2,Sold,2023-11-13
PROP000311,Office,London,Dubai,UAE,935719.06,5491,3,Sold,2023-03-11
PROP000312,House,Singapore,London,Germany,269873.64,6488,2,Sold,2021-01-05
PROP000313,Apartment,Singapore,Singapore,Nigeria,878266.59,5646,1,Available,2021-07-18
PROP000314,Office,Singapore,Sydney,Germany,234824.9,6481,5,Rented,2021-02-13
PROP000315,Apartment,Singapore,New York,UK,1613306.86,6427,5,Sold,2023-07-20
PROP000316,Retail,Toronto,Dubai,Nigeria,1181224.98,5769,5,Available,2024-12-17
PROP000317,Villa,Lagos,Dubai,USA,1324242.69,1907,5,Sold,2020-02-21
PROP000318,Apartment,Toronto,Sydney,UK,469254.77,9075,1,Sold,2018-10-14
